,TP9,AF7,AF8,TP10,Right AUX,timestamps
241,221.680,28.809,333.496,145.996,1.953,1730817200.493
242,-72.266,41.016,-971.680,-121.094,8.789,1730817200.498
243,-241.699,37.598,-901.367,-206.055,3.906,1730817200.504
244,-46.875,30.762,280.762,20.996,53.223,1730817200.509
245,269.043,27.832,-803.711,271.973,14.160,1730817200.514
246,255.859,33.691,387.207,192.871,1.953,1730817200.519
247,-41.992,34.668,-904.785,-95.703,48.828,1730817200.524
248,-231.445,30.273,-1000.000,-208.984,13.672,1730817200.530
249,-62.012,36.621,95.215,0.977,-14.648,1730817200.535
250,243.652,38.574,-842.773,244.141,15.137,1730817200.540
251,270.020,38.574,606.445,203.613,17.578,1730817200.545
252,-6.348,39.062,-660.645,-62.988,-31.250,1730817200.538
253,-230.469,37.598,-1000.000,-211.426,-20.020,1730817200.543
254,-110.840,35.156,-48.828,-52.246,42.969,1730817200.548
255,204.590,31.250,-889.160,217.285,61.035,1730817200.553
256,283.203,36.621,765.137,228.027,33.691,1730817200.559
257,37.109,43.457,-431.641,-30.762,65.918,1730817200.564
258,-211.426,41.016,-1000.000,-214.355,66.406,1730817200.569
259,-145.996,37.598,-175.781,-92.773,30.273,1730817200.574
260,166.992,35.645,-909.180,188.965,44.922,1730817200.579
261,293.457,38.574,832.031,238.770,21.484,1730817200.584
262,72.266,40.039,-388.184,-5.371,1.953,1730817200.590
263,-186.035,37.109,-1000.000,-210.938,40.039,1730817200.595
264,-157.227,35.645,-284.668,-116.211,37.598,1730817200.591
265,132.812,32.715,989.746,163.086,-0.977,1730817200.596
266,294.922,33.691,978.027,244.141,8.301,1730817200.601
267,116.211,39.551,-147.949,38.086,30.762,1730817200.606
268,-159.668,45.410,-1000.000,-181.641,36.133,1730817200.612
269,-183.105,40.527,-527.344,-136.719,39.062,1730817200.617
270,97.656,34.668,750.977,142.578,20.996,1730817200.622
271,312.012,38.086,-887.207,281.250,-26.855,1730817200.627
272,166.504,38.086,21.973,95.703,11.719,1730817200.632
273,-128.418,40.527,-1000.000,-151.855,65.430,1730817200.637
274,-195.801,41.016,-572.754,-148.926,47.363,1730817200.642
275,62.012,32.227,709.961,119.141,27.344,1730817200.648
276,297.363,32.227,-845.703,285.156,43.945,1730817200.647
277,186.523,38.086,95.703,116.211,57.129,1730817200.652
278,-115.723,38.574,-1000.000,-147.949,47.363,1730817200.658
279,-227.051,35.156,-712.891,-174.805,40.039,1730817200.663
280,5.859,29.785,533.203,78.613,60.059,1730817200.668
281,270.508,30.762,-832.520,272.461,46.387,1730817200.673
282,204.590,35.156,162.109,135.742,34.180,1730817200.678
283,-87.891,33.203,-1000.000,-132.324,25.391,1730817200.683
284,-232.422,30.762,-861.816,-195.801,15.625,1730817200.688
285,-34.668,31.250,278.320,39.551,65.918,1730817200.693
286,251.953,35.156,-821.289,271.484,116.699,1730817200.699
287,232.910,34.180,456.055,181.641,112.793,1730817200.704
288,-51.758,33.691,-848.145,-89.355,84.961,1730817200.701
289,-234.863,36.621,-991.699,-200.684,39.062,1730817200.706
290,-76.660,34.180,148.438,-2.930,17.090,1730817200.712
291,222.168,32.227,-813.965,249.023,10.742,1730817200.717
292,244.629,31.250,470.703,197.754,-8.789,1730817200.722
293,-25.879,35.645,-835.449,-78.613,-5.859,1730817200.727
294,-237.305,39.551,-1000.000,-214.355,-36.133,1730817200.732
295,-118.164,29.785,30.273,-39.551,32.715,1730817200.737
296,194.336,27.832,-877.441,231.445,52.734,1730817200.742
297,269.043,32.227,737.305,220.215,2.930,1730817200.747
298,17.578,35.156,-471.680,-46.875,65.430,1730817200.752
299,-220.703,34.668,-1000.000,-208.984,82.520,1730817200.757
300,-146.973,27.344,-161.621,-80.078,55.664,1730817200.752
301,162.598,28.809,-932.617,195.801,52.734,1730817200.757
302,281.738,34.668,864.258,234.375,55.664,1730817200.762
303,63.965,38.086,-296.387,-8.789,46.387,1730817200.767
304,-194.336,40.527,-1000.000,-207.031,74.707,1730817200.773
305,-163.574,37.598,-395.996,-117.188,107.910,1730817200.778
306,139.160,35.645,937.988,173.828,78.125,1730817200.783
307,295.898,35.645,957.031,255.371,23.438,1730817200.788
308,97.656,40.039,-237.305,20.020,14.648,1730817200.793
309,-182.617,40.039,-1000.000,-196.289,15.137,1730817200.798
310,-187.988,34.180,-372.070,-131.836,17.578,1730817200.803
311,100.586,31.250,908.203,146.973,-11.719,1730817200.808
312,297.852,33.691,-921.875,261.719,-46.387,1730817200.803
313,142.090,39.551,-6.348,61.035,1.953,1730817200.808
314,-146.973,41.016,-1000.000,-173.340,38.574,1730817200.813
315,-202.637,40.039,-643.066,-156.738,12.207,1730817200.818
316,59.082,41.504,596.680,105.469,18.066,1730817200.823
317,290.039,41.992,-834.961,268.066,74.707,1730817200.828
318,168.945,41.016,119.141,98.633,51.270,1730817200.833
319,-126.953,42.969,-1000.000,-163.574,-35.156,1730817200.838
320,-220.215,38.574,-680.664,-185.059,-38.574,1730817200.843
321,16.602,30.762,569.824,69.336,31.250,1730817200.848
322,277.344,28.809,-815.430,261.719,30.273,1730817200.853
323,201.172,34.668,194.336,129.883,-11.230,1730817200.858
324,-96.680,38.086,-1000.000,-137.695,-20.996,1730817200.850
325,-232.422,33.203,-803.711,-195.801,22.949,1730817200.855
326,-18.066,32.715,401.367,49.316,85.449,1730817200.860
327,265.625,33.203,-812.012,267.090,81.055,1730817200.865
328,223.145,36.133,378.418,160.156,59.082,1730817200.870
329,-66.406,39.551,-889.160,-107.422,19.043,1730817200.875
330,-239.746,39.062,-1000.000,-204.102,-39.551,1730817200.880
331,-69.824,36.133,95.215,0.977,-2.441,1730817200.885
332,237.305,35.645,-824.219,250.977,48.340,1730817200.890
333,251.465,36.133,503.906,196.289,20.508,1730817200.895
334,-30.762,37.109,-796.387,-86.914,-13.184,1730817200.900
335,-240.723,34.180,-1000.000,-216.797,-4.883,1730817200.905
336,-105.957,29.785,40.039,-26.367,31.738,1730817200.895
337,208.984,28.809,-845.703,240.234,70.801,1730817200.900
338,267.578,33.203,628.418,220.215,89.844,1730817200.905
339,5.371,38.574,-632.324,-54.199,93.750,1730817200.910
340,-218.750,40.527,-1000.000,-212.891,18.066,1730817200.914
341,-124.023,35.156,-92.773,-53.223,26.855,1730817200.919
342,189.941,31.250,-898.438,228.027,42.969,1730817200.924
343,303.223,35.645,804.199,255.371,-9.277,1730817200.929
344,68.359,37.109,-384.766,3.906,-10.742,1730817200.934
345,-194.824,36.133,-1000.000,-190.918,2.930,1730817200.939
346,-147.949,36.621,-341.309,-82.031,-4.883,1730817200.944
347,163.086,36.133,956.055,206.055,14.648,1730817200.949
348,314.453,33.691,962.402,281.250,38.086,1730817200.938
349,110.352,38.086,-208.496,41.992,19.043,1730817200.942
350,-172.363,42.480,-1000.000,-183.594,25.391,1730817200.947
351,-180.664,39.062,-374.512,-119.629,-5.371,1730817200.952
352,117.188,29.785,917.480,159.180,-54.688,1730817200.957
353,312.012,28.320,-939.453,285.156,23.926,1730817200.962
354,128.906,33.691,-55.664,63.965,48.828,1730817200.967
355,-171.387,33.691,-1000.000,-191.895,-36.621,1730817200.972
356,-210.938,31.250,-517.090,-153.809,-2.441,1730817200.977
357,61.523,32.227,766.113,128.418,1.953,1730817200.982
358,275.879,36.133,-864.258,276.367,-19.531,1730817200.986
359,147.461,41.504,79.102,83.984,37.109,1730817200.991
